Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,38,12,T:System.Windows.Data.Binding,,,,,return Binding.DoNothing;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,38,12,F:System.Windows.Data.Binding.DoNothing,,,,,return Binding.DoNothing;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,T:System.Windows.Visibility,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,T:System.Windows.Visibility,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,F:System.Windows.Visibility.Collapsed,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,T:System.Windows.Visibility,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,T:System.Windows.Visibility,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,33,12,F:System.Windows.Visibility.Visible,,,,,return isVisible ? Visibility.Visible : Visibility.Collapsed;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,8,45,M:System.Windows.Markup.MarkupExtension.#ctor,,,,,MarkupExtension
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,8,62,T:System.Windows.Data.IValueConverter,,,,,IValueConverter
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,Converters\Converters.cs,8,45,T:System.Windows.Markup.MarkupExtension,,,,,MarkupExtension
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,App.xaml.cs,8,4,T:System.Windows.StartupEventArgs,,,,,protected override void OnStartup(StartupEventArgs e)
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,App.xaml.cs,10,8,M:System.Windows.Application.OnStartup(System.Windows.StartupEventArgs),,,,,base.OnStartup(e);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,App.xaml.cs,6,27,M:System.Windows.Application.#ctor,,,,,Application
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BasicDynamicEntity.csproj,File,App.xaml.cs,6,27,T:System.Windows.Application,,,,,Application
